entry_time,exit_time,type,entry_price,exit_price,profit_points,profit_dollars,exit_reason,strength,rr_ratio,duration_bars
2021-12-09 08:30:00,2021-12-09 13:00:00,SELL,1783.308,1774.1484227999997,9.159577200000285,915.9577200000285,TP atteint,7.387701482006719,1.800000000000009,18
2021-12-09 13:15:00,2021-12-10 14:00:00,SELL,1776.978,1788.393489,-11.41548899999998,-1141.548899999998,SL touché,7.387701482006719,1.800000000000004,95
2021-12-21 14:15:00,2021-12-22 18:15:00,SELL,1795.095,1801.3355475,-6.240547500000048,-624.0547500000048,SL touché,7.696525704620242,1.7999999999999927,108
2021-12-28 16:15:00,2021-12-28 18:30:00,BUY,1811.808,1808.293096,-3.5149039999998877,-351.49039999998877,SL touché,8.876351681350698,1.8,9
2021-12-29 18:15:00,2022-01-06 13:00:00,BUY,1805.365,1788.4453174999999,-16.919682500000135,-1691.9682500000135,SL touché,8.080017707781693,1.7999999999999947,531
2022-01-07 13:30:00,2022-01-07 18:15:00,SELL,1790.198,1796.983099,-6.785098999999946,-678.5098999999946,SL touché,12.933900880394923,1.8,19
2022-01-14 11:15:00,2022-01-19 15:00:00,SELL,1820.278,1829.958139,-9.680139000000054,-968.0139000000054,SL touché,15.605851314865319,1.8000000000000094,275
2022-01-21 08:15:00,2022-01-24 09:00:00,SELL,1833.258,1843.560629,-10.302629000000024,-1030.2629000000024,SL touché,8.286776439275855,1.7999999999999956,95
2022-01-25 09:00:00,2022-01-25 14:45:00,SELL,1837.488,1844.1567440000001,-6.668744000000061,-666.8744000000061,SL touché,7.0181879827416225,1.800000000000007,23
2022-01-26 12:00:00,2022-01-26 14:00:00,BUY,1844.608,1841.6216960000002,-2.986303999999791,-298.6303999999791,SL touché,16.798331855289995,1.8,8
2022-02-04 13:30:00,2022-02-07 13:15:00,SELL,1797.738,1815.696869,-17.95886900000005,-1795.886900000005,SL touché,7.8326549534176735,1.7999999999999974,91
2022-02-10 13:30:00,2022-02-11 18:30:00,BUY,1830.792,1849.1041127999997,18.312112799999795,1831.2112799999795,TP atteint,11.871002870116357,1.7999999999999956,112
2022-03-03 16:15:00,2022-03-03 20:15:00,BUY,1927.753,1937.6509776999997,9.897977699999728,989.7977699999728,TP atteint,6.937916576771443,1.8000000000000083,16
2022-03-03 20:30:00,2022-03-04 21:45:00,BUY,1939.403,1970.2814626999998,30.878462699999773,3087.8462699999773,TP atteint,6.937916576771443,1.8,97
2022-03-13 22:00:00,2022-03-14 09:15:00,SELL,1981.508,1963.8846428000002,17.623357199999873,1762.3357199999873,TP atteint,7.843559489747221,1.8000000000000094,45
2022-03-18 11:00:00,2022-03-18 13:15:00,BUY,1936.808,1927.879596,-8.928404,-892.8404,SL touché,16.348377506068985,1.8000000000000103,9
2022-03-23 15:30:00,2022-03-23 17:45:00,SELL,1926.078,1937.582039,-11.50403899999992,-1150.403899999992,SL touché,16.52564232229905,1.799999999999996,9
2022-03-24 06:00:00,2022-03-24 11:30:00,BUY,1942.353,1953.2361177,10.883117699999957,1088.3117699999957,TP atteint,14.414081626345066,1.7999999999999925,22
2022-03-30 06:30:00,2022-03-30 12:15:00,SELL,1923.688,1929.259844,-5.571843999999828,-557.1843999999828,SL touché,6.6790249331740625,1.8,23
2022-04-11 05:30:00,2022-04-11 08:15:00,BUY,1944.612,1954.8761508,10.264150799999925,1026.4150799999925,TP atteint,6.618069352251965,1.800000000000016,11
2022-04-11 08:30:00,2022-04-18 00:00:00,BUY,1956.532,1988.2628787999997,31.7308787999998,3173.08787999998,TP atteint,6.618069352251965,1.799999999999995,334
2022-04-19 12:15:00,2022-04-19 12:30:00,SELL,1978.462,1970.5865842,7.875415799999928,787.5415799999928,TP atteint,8.225548491214276,1.7999999999999896,1
2022-04-19 12:45:00,2022-04-21 11:30:00,SELL,1967.028,1938.5816748000002,28.44632519999982,2844.632519999982,TP atteint,8.225548491214276,1.7999999999999943,179
2022-05-10 13:30:00,2022-05-10 14:45:00,SELL,1859.198,1848.0477218000003,11.150278199999775,1115.0278199999775,TP atteint,12.226402387882096,1.7999999999999854,5
2022-05-10 15:00:00,2022-05-13 12:15:00,SELL,1845.813,1810.5817683000005,35.231231699999626,3523.1231699999626,TP atteint,12.226402387882096,1.7999999999999976,265
2022-05-18 15:30:00,2022-05-22 22:00:00,BUY,1823.918,1855.6015261999996,31.683526199999733,3168.3526199999733,TP atteint,9.922681789200333,1.8,206
2022-06-10 14:30:00,2022-06-13 14:30:00,BUY,1848.398,1824.023801,-24.374198999999862,-2437.4198999999862,SL touché,14.839596090060965,1.799999999999998,92
2022-06-15 13:45:00,2022-06-15 18:30:00,SELL,1823.848,1837.327924,-13.479923999999983,-1347.9923999999983,SL touché,10.126734115545965,1.8000000000000067,19
2022-06-21 13:45:00,2022-06-21 19:15:00,BUY,1838.444,1829.747778,-8.696222000000034,-869.6222000000034,SL touché,18.008135055301935,1.8000000000000052,22
2022-06-24 15:15:00,2022-06-29 06:30:00,BUY,1830.323,1815.9828384999998,-14.34016150000025,-1434.016150000025,SL touché,13.005343299485219,1.799999999999997,241
2022-06-30 12:30:00,2022-07-01 03:45:00,BUY,1820.172,1801.7079139999998,-18.46408600000018,-1846.408600000018,SL touché,31.199070375026906,1.8,57
2022-07-01 15:00:00,2022-07-05 14:00:00,BUY,1807.264,1783.493368,-23.770631999999978,-2377.063199999998,SL touché,14.376269568254159,1.8000000000000038,170
2022-07-12 01:30:00,2022-07-13 12:30:00,SELL,1732.878,1711.1224098,21.755590199999915,2175.5590199999915,TP atteint,15.74704042694988,1.8000000000000038,136
2022-07-20 01:30:00,2022-07-20 05:45:00,BUY,1711.838,1708.508081,-3.329919000000018,-332.9919000000018,SL touché,10.031230413282536,1.7999999999999863,17
2022-07-20 13:30:00,2022-07-20 17:45:00,SELL,1710.214,1701.1202073999996,9.09379260000037,909.379260000037,TP atteint,12.626755586844467,1.8,17
2022-07-20 18:00:00,2022-07-21 15:00:00,SELL,1700.324,1715.261162,-14.937161999999944,-1493.7161999999944,SL touché,12.626755586844467,1.8,80
2022-08-12 07:30:00,2022-08-12 13:00:00,SELL,1788.048,1794.9180239999998,-6.87002399999983,-687.002399999983,SL touché,8.935774980827702,1.8,22
2022-08-23 08:45:00,2022-08-23 12:15:00,SELL,1740.614,1733.3774474000004,7.236552599999641,723.6552599999641,TP atteint,7.823110083427608,1.8000000000000114,14
2022-08-23 12:30:00,2022-08-23 13:45:00,SELL,1736.324,1744.6321619999999,-8.308161999999811,-830.8161999999811,SL touché,7.823110083427608,1.8000000000000054,5
2022-09-02 12:30:00,2022-09-02 14:30:00,SELL,1704.348,1715.536174,-11.188174000000117,-1118.8174000000117,SL touché,19.499586944282058,1.8,8
2022-09-05 22:00:00,2022-09-06 00:30:00,BUY,1711.638,1718.7530742000001,7.115074200000208,711.5074200000208,TP atteint,10.281063399837073,1.8000000000000116,10
2022-09-06 00:45:00,2022-09-06 12:45:00,BUY,1723.764,1707.679118,-16.08488199999988,-1608.488199999988,SL touché,10.281063399837073,1.7999999999999972,48
2022-10-24 14:15:00,2022-10-25 08:45:00,BUY,1647.498,1642.9232510000002,-4.574748999999883,-457.47489999998834,SL touché,17.2038869057736,1.80000000000001,70
2022-10-27 07:00:00,2022-10-27 12:15:00,BUY,1662.588,1658.025706,-4.562294000000065,-456.22940000000654,SL touché,6.803671756059352,1.80000000000001,21
2022-11-01 07:30:00,2022-11-01 09:45:00,SELL,1642.548,1650.568274,-8.020273999999972,-802.0273999999972,SL touché,7.731111690485726,1.7999999999999887,9
2022-11-04 12:30:00,2022-11-04 18:45:00,BUY,1655.958,1680.4163621999999,24.458362199999783,2445.8362199999783,TP atteint,18.360867445732488,1.7999999999999967,25
2022-11-09 13:15:00,2022-11-09 14:45:00,BUY,1706.848,1715.4779631999997,8.629963199999793,862.9963199999793,TP atteint,9.12104853170458,1.799999999999981,6
2022-11-09 15:00:00,2022-11-09 19:30:00,BUY,1716.117,1702.0489415,-14.068058500000006,-1406.8058500000006,SL touché,9.12104853170458,1.8000000000000065,18
2022-11-14 11:45:00,2022-11-14 13:30:00,BUY,1756.198,1763.3585782000005,7.160578200000373,716.0578200000373,TP atteint,8.172496853034382,1.800000000000023,7
2022-11-14 13:45:00,2022-11-15 07:45:00,BUY,1763.578,1784.0292202,20.45122020000008,2045.122020000008,TP atteint,8.172496853034382,1.8,68
